title,genre,url,summary
WWF SmackDown! 2: Know Your Role,wrestling,https://www.metacritic.com/game/playstation/wwf-smackdown!-2-know-your-role,"Prepare for the most outrageous WF experience ever created. Brawl in the ring, backstage, in the VIP room, the parking lot of the new WF New York. Let your fury rage in the new Tornado Tag Team mode. If that's not hardcore enough, pull out the tables, ladders or chairs and really get nasty."
WWF No Mercy,wrestling,https://www.metacritic.com/game/nintendo-64/wwf-no-mercy,"Jump into the ring with the biggest, baddest jambronis around and experience brutal WWF action never before seen in a console game! Over 65 WWF superstars, all-new Ladder matches, and all-new Double-Team moves, like the Dudley 3D Deathdrop! Take on the entire Federation in Survival Mode. Take the action out of the ring in 10 different backstage areas!"
UFC Undisputed 3,wrestling,https://www.metacritic.com/game/playstation-3/ufc-undisputed-3,"The critically acclaimed and best-selling MMA videogame franchise returns to take players inside the Octagon with UFC Undisputed 3, delivering intense UFC action focused on brutal toe-to-toe combat, impressive visual presentation and increased accessibility."
UFC Undisputed 2010,wrestling,https://www.metacritic.com/game/playstation-3/ufc-undisputed-2010,"UFC Undisputed 2010 is the only mixed martial arts (MMA) videogame this year that delivers the action, intensity and prestige of the Ultimate Fighting Championship. Players navigate a roster of more than 100 prolific UFC fighters, each fully rendered to convey a photorealistic appearance. Prominent UFC personalities, including commentators Joe Rogan and Mike Goldberg, veteran voice of the Octagon Bruce Buffer, the Octagon Girls, referees, trainers and more, return to showcase an authentic and memorable UFC videogame experience. Enhanced combat offers players a new Sway System with full upper body and head movement that allows for the dodging of attacks. On the ground, a new Posture System enables players to deliver stronger, fight-ending strikes from every position. In addition, players manage Octagon control with new strikes, submissions, transitions and cage positions, as well as experience added realism with the introduction of Southpaw stance. Players also enjoy customizable freedom with created fighters by combining moves from numerous MMA disciplines, including new moves taken from Sambo, Karate and Greco-Roman Wrestling, to become true mixed martial artists. [THQ]"
WWE SmackDown! Here Comes the Pain,wrestling,https://www.metacritic.com/game/playstation-2/wwe-smackdown!-here-comes-the-pain,"Features an exclusive story mode with original storylines developed by WWE. Unique Superstar abilities featuring real-life attributes of strength, submission, technique, speed and stamina. New and improved controls including an in-depth countering and interactive submission system. All-new match types including Bra & Panty, First Blood and Elimination Chamber. Enhanced production values feature dynamic camera transitions, an improved audio experience, Superstar voice over and more-realistic animations. [THQ]"
UFC Undisputed 3,wrestling,https://www.metacritic.com/game/xbox-360/ufc-undisputed-3,"The critically acclaimed and best-selling MMA videogame franchise returns to take players inside the Octagon with UFC Undisputed 3, delivering intense UFC action focused on brutal toe-to-toe combat, impressive visual presentation and increased accessibility."
UFC Undisputed 2010,wrestling,https://www.metacritic.com/game/xbox-360/ufc-undisputed-2010,"UFC Undisputed 2010 is the only mixed martial arts (MMA) videogame this year that delivers the action, intensity and prestige of the Ultimate Fighting Championship. Players navigate a roster of more than 100 prolific UFC fighters, each fully rendered to convey a photorealistic appearance. Prominent UFC personalities, including commentators Joe Rogan and Mike Goldberg, veteran voice of the Octagon Bruce Buffer, the Octagon Girls, referees, trainers and more, return to showcase an authentic and memorable UFC videogame experience. Enhanced combat offers players a new Sway System with full upper body and head movement that allows for the dodging of attacks. On the ground, a new Posture System enables players to deliver stronger, fight-ending strikes from every position. In addition, players manage Octagon control with new strikes, submissions, transitions and cage positions, as well as experience added realism with the introduction of Southpaw stance. Players also enjoy customizable freedom with created fighters by combining moves from numerous MMA disciplines, including new moves taken from Sambo, Karate and Greco-Roman Wrestling, to become true mixed martial artists. [THQ]"
Def Jam: Fight for NY,wrestling,https://www.metacritic.com/game/xbox/def-jam-fight-for-ny,"Def Jam Fight for NY takes the battle for hip-hop domination into the fighting ring. More than 35 hip-hop artists and personalities--including Busta Rhymes, Carmen Electra, Lil' Kim, Ludacris, Method Man, Redman, Sean Paul, Slick Rick, and Snoop Dogg--face off in brutal wrestling matches. In the ring and on the streets, you'll join the battle as a New York City street fighter. The game challenges you to develop your own fighting style and seize control of the hip-hop underworld."
UFC Undisputed 2009,wrestling,https://www.metacritic.com/game/playstation-3/ufc-undisputed-2009,"UFC 2009 Undisputed is an explosive fighting game that details the action, intensity and attitude of a UFC live event. Players explore a deep roster of more than 80 top fighters in UFC competition across all five weight classes. In addition, they enter the Octagon surrounded by the sport’s popular commentators, announcers, referees, trainers, Octagon girls and more. Photorealistic models are at the forefront, as players view amazing ripple effects across the faces and bodies of their fighters from the impact of devastating punches and kicks. A brand new fighting game engine designed specifically for next generation systems delivers innovative, responsive and easy-to-play controls that give unparalleled command of fighters, as players take down opponents with a variety of mixed martial arts disciplines like Muay Thai, Kickboxing and Brazilian Jiu-Jitsu. In addition, the game’s Create-A-Fighter system jumpstarts the careers of future champions through character customization and training management, while a robust Career Mode develops a fighter's attributes and skill sets while fighting to enter the UFC Hall of Fame through a series of dynamic storylines. Furthermore, players can enhance their UFC 2009 Undisputed gameplay experience through online support, including downloadable content. [THQ]"
WWE SmackDown! vs. Raw 2006,wrestling,https://www.metacritic.com/game/playstation-2/wwe-smackdown!-vs-raw-2006,"An amazing 100 different match types to challenge your wrestling skill and from the halls of immortality, a new roster of celebrated WWE Legends. Lace up your boots for the definitive wrestling experience that is WWE SmackDown! vs RAW 2006. New high-resolution textures and integrated motion-capture technology brings WWE programming to life like never before. Revolutionary momentum system adds increased depth with less complexity, while the all-new stamina system brings a new level of realism and strategy to matches. Challenge players online to gain prestige in a virtual WWE Championship Improved cut-scenes and 2 full seasons to play without story repetition. Buried-Alive Match, Bar Brawl backstage area, a special surprise for the WWE divas and others. Fully customizable 3D locker room (first time ever in 3D), 3 levels of blood and other ""fan favorite"" first time additions. A new roster of some of your favorite legends of all time. [THQ]"
UFC Undisputed 2009,wrestling,https://www.metacritic.com/game/xbox-360/ufc-undisputed-2009,"UFC 2009 Undisputed is an explosive fighting game that details the action, intensity and attitude of a UFC live event. Players explore a deep roster of more than 80 top fighters in UFC competition across all five weight classes. In addition, they enter the Octagon surrounded by the sport’s popular commentators, announcers, referees, trainers, Octagon girls and more. Photorealistic models are at the forefront, as players view amazing ripple effects across the faces and bodies of their fighters from the impact of devastating punches and kicks. A brand new fighting game engine designed specifically for next generation systems delivers innovative, responsive and easy-to-play controls that give unparalleled command of fighters, as players take down opponents with a variety of mixed martial arts disciplines like Muay Thai, Kickboxing and Brazilian Jiu-Jitsu. In addition, the game’s Create-A-Fighter system jumpstarts the careers of future champions through character customization and training management, while a robust Career Mode develops a fighter's attributes and skill sets while fighting to enter the UFC Hall of Fame through a series of dynamic storylines. Furthermore, players can enhance their UFC 2009 Undisputed gameplay experience through online support, including downloadable content. [THQ]"
Def Jam: Fight for NY,wrestling,https://www.metacritic.com/game/playstation-2/def-jam-fight-for-ny,"The ultimate hip-hop-fueled fighting video game features more than 70 characters, including more than 35 of the most well-known artists and personalities in hip-hop today, including Busta Rhymes, Carmen Electra, Lil? Kim, Ludacris, Method Man, Redman, Sean Paul, Slick Rick, Snoop Dogg, and many more. Def Jam Vendetta II challenges players to step into the shoes of a ruthless NYC street fighter battling for control of the hip-hop underground. The game features an all-new fighting engine allowing gamers to customize multiple fighting styles as the deep new story mode takes the action well beyond the ring and into the streets. Master each fighting style: street fighting, kickboxing, martial arts, wrestling, and submission fighting. Combine up to three styles to create devastating hybrid-styles, complete with new ""blazin' moves"" to finish off your opponent. Build your own street-ready fighter and outfit him with thousands of pieces of unlockable licensed gear, tattoos, and even bling from the Jeweler to the stars, Jacob the Jeweler. [Electronic Arts]"
WWE SmackDown! Shut Your Mouth,wrestling,https://www.metacritic.com/game/playstation-2/wwe-smackdown!-shut-your-mouth,"Features an updated roster with even more WWE superstars, including Hollywood Hulk Hogan, Stacy Keibler, DDP, Ric Flair, the nWo, and many more. The in-depth story mode has multiple character paths, and for the first time, players will have the option to enter superstars into a World Wrestling Entertainment draft pool. There are a variety of backstage areas modeled after Madison Square Garden, and more than 14 PPV arenas, including Backlash, Vengeance, and Unforgiven. The thousands of animations include superstar signature moves with double- and triple-team moves. The improved create-a-wrestler mode lets players build the ultimate wrestler with a dynamic layer system and a new thumbnail system, allowing even more CAW options."
WWE SmackDown! vs. Raw 2006,wrestling,https://www.metacritic.com/game/psp/wwe-smackdown!-vs-raw-2006,SmackDown vs. RAW 2006 delivers the deepest and most realistic wrestling experience ever. New high-resolution textures and motion-captured technology bring WWE programming to life like never before. The improved fighting system brings a new level of realism and tactical thinking to matches. Lace up your boots for the definitive wrestling experience. Features over 50 playable WWE Superstars. Robust Create-A-Superstar and Create-A-Championship modes. Full Season Mode and dozens of exhibitions. PS2 to PSP Connectivity. Transfer season mode and created characters between the two game systems. Exclusive PSP Features: Party Mode -- WWE mini-games with wireless multiplayer support. Exclusive PSP unlockables: up to 4 player multiplayer wireless gaming. [THQ]
