title,description,genres,meta_score,user_score,developer,platform,release_date,rating
A SOUND OF THUNDER,"Based on the Franchise Pictures movie of the same name, A Sound of Thunder takes you to a future where time travel is possible. Things quickly go wrong when someone alters the past, creating a sequence of time ripples that mutate the present-day world. Now you must solve the mystery and sort out a mess that just might mean the end of human existence. You'll solve puzzles, manipulate items, interact with other characters, and eliminate mutant creatures and plants. In addition to a single-player mode, the game features both cooperative and competitive multiplayer modes.","Genre(s): Action Adventure, Sci-Fi",65,tbd,Rockstar Leeds,N/A,"Feb 1, 2005",T
ACE COMBAT ADVANCE,"The Ace Combat series makes its debut on the Game Boy Advance with challenging missions, unlockable planes, and free-roaming environments. As the newest pilot in an elite fighter squadron, you must help destroy the Air Strike Force--the military arm of an evil multinational corporation. If you destroy enough enemy planes during your missions, you'll unlock new planes. Fly in air-to-air and air-to-ground missions over arctic, forest, and desert environments. Each environment features destructible buildings and objects.","Genre(s): Simulation, Flight, Modern Jet",56,7.5,Human Soft,N/A,"Feb 23, 2005",E
ACTIVISION ANTHOLOGY,"Be a flying ace, a race car champion, a tennis star, and a space pioneer all in one afternoon. Activision Anthology lets you go back in time with all your old favorites, including Pitfall 1 and 2, Commando, Freeway, Keystone Kapers, Seaquest, River Raid 1 and 2, and Spider Fighter. Whether it's trying to get Pitfall Harry past the third pit on the right or breaking 15,000 points on River Raid to earn a patch, Activision Anthology is sure to conjure plenty of gaming memories.","Genre(s): Miscellaneous, Compilation",79,4.8,Aspyr,N/A,"Dec 9, 2003",E
ADVANCE GUARDIAN HEROES,"Based on the Sega Saturn's Guardian Heroes, Advance Guardian Heroes brings a classic game to life on your Game Boy Advance. Not your ordinary side-scrolling fighter, the game features more than 20 playable characters, 160 powerful moves, and different multiplayer scenarios. Each fighter has unique moves and abilities, which you can upgrade as you progress through the game. Whether you play solo, with friends, or against friends, you can delve into a variety of challenges and battle arenas.","Genre(s): Action, Beat-'Em-Up",65,tbd,Treasure,N/A,"Sep 14, 2004",E
ADVANCE WARS,"The battle lines have been drawn, and an elite group of sly strategists are massing troops at your borders. You'll have to command ground, air and naval forces if you hope to survive the coming wars, and it won't be easy. With 114 maps to battle on and both Single-Pak and Multi-Pak link modes, Advance Wars brings turn-based strategy to a depth never before seen on a handheld!","Genre(s): Strategy, Turn-Based, Modern",92,8.8,Intelligent Systems,N/A,"Sep 9, 2001",E
ADVANCE WARS 2: BLACK HOLE RISING,"Just when you thought you'd seen the last of them, the Black Hole Army is storming back in this sequel to the award-winning Game Boy Advance strategy game. With new COs under his command, Sturm is leading a new invasion force, and it'll take advance strategy to stop him!","Genre(s): Strategy, Turn-Based, Sci-Fi",89,8.8,Intelligent Systems,N/A,"Jun 24, 2003",E
AERO THE ACRO-BAT,"Little seems to have been lost in the translation from the 1993 original, but then again, it was a mediocre game to begin with.","Genre(s): Action, Platformer, 2D",71,7.5,Atomic Planet Entertainment,N/A,"May 14, 2002",E
AGGRESSIVE INLINE,"Aggressive Inline pushes your inline skating skills to the limit with a new Juice Meter, challenging objectives, and expansive levels. You can choose from an array of professional inline skaters--including Jaren Grob, Chris Edwards, and Shane Yost--and showcase your talent in various interactive skate parks. Perform a variety of manuals, grinds, big-air tricks, wall flips, hand plants, and more, to build up your Juice Meter and avoid elimination. Aggressive Inline also includes a Park Editor that lets you design your own skate park, complete with rails, ramps, and pipes.","Genre(s): Sports, Alternative, Skating",75,tbd,Full-Fat,N/A,"Aug 27, 2002",E
AIRFORCE DELTA STORM,"Strap into your cockpit and blast through the gut-wrenching world of flight combat. Your adrenaline pumps as machine gun fire pelts off your tail, you execute back-breaking barrel rolls and experience dog-fighting action. Take your pick of over 70 planes, including military fighters rendered from actual aircraft. With a full range of extreme missions to numb your senses, AirForce Delta Storm pushes your Game Boy Advance to the sky!","Genre(s): Action, Shooter, Scrolling",71,tbd,Konami,N/A,"Sep 16, 2002",E
ALEX RIDER: STORMBREAKER,"Embrace the role of Alex Rider to out-spy, outwit and out-cool evil. Based on the teen spy movie, Alex Rider: Stormbreaker starring Mickey Rourke, Alicia Silverstone and Ewan McGregor, the video game captures all the excitement and suspense of Anthony Horowitz's best-selling novel about teenage superspy Alex Rider. Game play includes combat, stealth missions, vehicles and the use of gadgets to achieve mission objectives. Explore Ian Rider's house, the breaker's yard, MI6's secret Liverpool Street headquarters, M16's training facilities and Darius Sayle's complex. Players obtain mission briefings from Mrs. Jones and Alan Blunt before they go undercover, improve their problem-solving skills at M16's top training camp and receive spy gadgets from Smithers to aid them in combat, navigation and unlocking special mini games.","Genre(s): Action, General",37,2.8,Razorback Developments,N/A,"Oct 2, 2006",E10+
