title,description,genres,meta_score,user_score,developer,platform,release_date,rating
007 LEGENDS,"007 Legends ties together five classic Bond movies and his latest outing, Skyfall, in one video game.","Genre(s): Action, Shooter, Shooter, First-Person, Modern, Modern, Arcade",N/A,5.3,Eurocom Entertainment Software,Wii U,"Dec 11, 2012",T
1001 SPIKES,"Aban Hawkins & the 1,001 Spikes is a 2D platformer where you have 1,001 lives to beat the game.","Genre(s): Action, General, Platformer, Platformer, 2D, 2D",83,7.0,Nicalis,Wii U,"Jun 3, 2014",T
140,"At its heart 140 is an old-school platformer set in a world of abstract colorful graphics, but it has a musical twist. You’ll need to overcome obstacles that are controlled by an energetic, yet melancholic electronic soundtrack - meaning you’ll need a heightened sense of rhythm to sync up your every move and jump to the music.","Genre(s): Action, Platformer, 2D",N/A,tbd,Jeppe Carlsen,Wii U,"Sep 1, 2016",E
153 HAND VIDEO POKER,"153x the fun of regular video poker

One of the most fun card games you can play alone. 153 Hand Video Poker fills your screen with multiple hands. After the hands are dealt you will hear a corresponding piano chord based on the rank of that hand. So winning will be music to your ears.","Genre(s): Miscellaneous, Gambling",N/A,tbd,Skunk Software,Wii U,"Jun 2, 2016",T
360 BREAKOUT,"Offers single player, two player co-op and two player VS mode. Play through 20 exciting levels on your own or together with a friend while aiming for a new highscore.","Genre(s): Action, Arcade",N/A,tbd,nuGAME,Wii U,"Aug 11, 2016",E
3SOULS,"Discover the world of Mustland with Nelesa in the sad cells of Moon Prison with this first episode of 3Souls. In this 2D puzzle-platformer, players must utilise the unique features of the Wii U GamePad to solve puzzles and the touch screen to glimpse into the thoughts and feelings residing within Nelesa's soul. A second player can join in on the journey to help you with the platformer parts of the game in local Co-Op Mode.

3Souls is an episodic game, structured in 3 separate episodes. With this purchase you will receive the starting episode 1. Episode 2 and 3 will be available later as chargeable downloadable content.","Genre(s): Action, Action Adventure, Platformer, 2D",49,6.9,Red Column,Wii U,"Jul 28, 2016",E10+
6-HAND VIDEO POKER,"Bring Las Vegas to your Wii U!

Bring all the fun and excitement of casino-style Las Vegas video poker to your Wii U! Just like the video poker you play in the casino, only better! Featuring multiple hands, unlimited play, a realistic pay-table and a moving Las Vegas theme. 6-Hand Video Poker is a good bet!","Genre(s): Miscellaneous, Gambling",N/A,tbd,Skunk Software,Wii U,"Mar 31, 2016",T
6180 THE MOON,"Let's super high jump through the screen! 6180 the moon is a platformer game with a unique mechanic. It offers a fresh, unseen game play style by connecting the top and bottom of the screen. This allows in a mechanic with delightfully long jumps and no fear of ""slipping"" to death.
In addition to the unique gameplay, 6180 the moon delivers a unique storyline. The Sun has gone. The Moon sets off on a journey to find the Sun. Along the journey will be hazardous courses and deep realizations.","Genre(s): Action, Platformer, 2D",N/A,tbd,Turtle Cream,Wii U,"Feb 25, 2016",E
8BIT HERO,"5 Player Retro Arcade Chaos

Team up with 4 friends to hack and slash your way through eight worlds in this retro arcade adventure. Power up by exploring a secret-filled 8bit world. Customize attacks by equipping special weapons and tools hidden throughout the journey. Extend hit points by collecting hidden pixel pieces and power up by spending loot on equipment upgrades.

Features:
-Up to 5 players can team up locally for a Co-Op adventure.
-Explore over 30 challenging levels and find all their hidden secrets.
-This game can be played off-TV on the Wii U GamePad, even while the TV is being used by someone else.
-3 different challenging game modes make the adventure even more heroic. Choose from Casual, Arcade, or Hardcore mode to better fit your play style.","Genre(s): Action Adventure, General",N/A,tbd,Sean Garland,Wii U,"May 12, 2016",E10+
99MOVES,"After 99Bullets and 99Seconds, the saga continues. Now your problem will be the movements.

99Moves, a retro arcade game where you will have to survive with just 99 Movements.

Without a heading in the galaxy, all was lost because your energy was about to run out... gravity would chart the course of your destiny... Suddenly, V-99 entered a zone called Shaders, which provided energy... It was a new opportunity to survive. However, it was not all good news, as you only have 99 energy pulses to move through the Shaders zone.","Genre(s): Action, General, Arcade",N/A,tbd,EnjoyUp Games,Wii U,"Dec 18, 2014",E
99SECONDS,"The saga continues after 99Bullets. Now your problem isn't the number of bullets, rather the amount of time. 99Seconds, a fun, retro-style video game, where you can modify time to avoid all kinds of dangers. After finishing off Black Eye, V-99 entered a mysterious zone called Bit 8, without knowing why V-99 could modify time, slow it down and even stop it. But everything became complicated with the appearance of the BLACK VECTORS: mysterious beings that aim to destroy any intruder who reaches Bit 8.","Genre(s): Action, General, Arcade",65,tbd,EnjoyUp Games,Wii U,"Oct 2, 2014",E
A DAY AT THE CARNIVAL,"Check out our version of a Street Carnival

Try out our version of a Street Fair! Here you can play several mini-games and win a prize, score enough points and you will unless a secret level which is a MUST for every street fair! Missing are the crowds, annoying vendors, the pushing and shoving - if you miss those things then bring the crowd with you as you play!","Genre(s): Miscellaneous, Party / Minigame",N/A,tbd,Thornbury Software,Wii U,"Jul 6, 2017",E
A WORLD OF KEFLINGS,"Play as a giant to help the tiny Keflings build up and beautify their Kingdom. Start out small, unlocking new blueprints, buildings and tasks as you work towards designing and building a Kefling castle. Create your own private world, or construct a kingdom with your friends online!","Genre(s): Strategy, Breeding/Constructing, General, Management, Breeding/Constructing, Government",70,7.6,NinjaBee,Wii U,"Nov 13, 2014",E10+
ABSOLUTELY UNSTOPPABLE MINERUN,"A challenging auto-runner for 1 to 5 players.

Absolutely Unstoppable MineRun is a challenging auto-run platformer. The lava keeps rising and the Miner is out of control, so you'll need to use carefully timed jumps and double jumps to reach the top safely.

-Play dangerously for bigger scores stay close to the lava for bonus multipliers
-16 vertical levels, ranging from very easy to almost impossible
-3 objectives per level for extra challenge
-2 multiplayer modes for up to 5 players (Additional Wii Remote controllers required)
-In multiplayer, expert players can control 2 Miners using a single Wii Remote
-Describe & Draw multiplayer mode draw clues on the Wii U GamePad for other players to guess. Drawings will obscure the gameplay, but correct guesses will add seconds to the timer
-Unlockable Endless single player mode
-3 save files high scores are shared between the files","Genre(s): Action, Platformer, Arcade, 2D",N/A,tbd,Shy Egg,Wii U,"Apr 27, 2017",N/A
ABYSS,"Explore the abyss!

Earth, 3024.

Natural resources are scarce and the survival of the human race is in danger. Desperate to find new energy resources, the ASAN creates a biomechanical robot called Nep2no that is capable of withstanding extreme depths in the hope of finding new energy sources. After many years of exploration, a new energy source is found, code named ""Gaia"".

Your mission will be to find the ""Gaia"" energy stones by exploring the depths. To do so, you must control Nep2no by counteracting gravity and the surrounding darkness with the aid of a Light that will go out little by little.","Genre(s): Action, General, Platformer, 2D",59,6.5,EnjoyUp Games,Wii U,"May 1, 2014",E
ACE: ALIEN CLEANUP ELITE,"ACE - Alien Cleanup Elite is a 90's inspired arcade game. Get the highest score, and don't get killed out there!","Genre(s): Action, Platformer, 2D",N/A,tbd,Matthew Flewelling,Wii U,"Mar 16, 2017",E
ACT IT OUT! A GAME OF CHARADES,"Everyone's favorite word-guessing party game is now available on your TV! Act out the secret phrase and let the other players in your living room guess what it is. And for maximum entertainment the game also has additional modes where you have to sing, draw or describe the hidden phrase.

PLAY IN THE LIVING ROOM, OR STREAM WITH THE WORLD:
Supports 2 - 8 players with only one DUALSHOCK4 Wireless Controller needed
Play cooperatively, build teams or have the whole living room competing against each other

HIGH-QUALITY CONTENT:
Over 1,500 hand-picked high-quality phrases so you dont have to come up with them!
Multiple categories: Films, Video Games, Music, TV, Books, Theater, Proverbs, and more!

ACT IT OUT! A Game of Charades is great with groups and perfect as an icebreaker!

(Game playable in English, French, Italian, German, Spanish and Dutch)","Genre(s): Miscellaneous, Trivia / Game Show, Party / Minigame",N/A,tbd,Snap Finger Click Ltd,Wii U,"Oct 10, 2016",E
