title,description,genres,meta_score,user_score,developer,platform,release_date,rating
1080: AVALANCHE,"Danger is the name of the game in 1080- Avalanche. Huge air, massive drop-offs, deep powder, and the nastiest tricks come together in one package. It's a frantic race to the bottom of the mountain, so stick tricks on the way down to increase your rider's speed and power. Keep your eyes peeled for shortcuts, rockslides, natural wildlife, dizzying drops, and sudden weather changes. The successor to the Nintendo 64 version of the game, 1080- Avalanche offers a wide variety of play modes, challenges, and secrets to keep you on your toes.","Genre(s): Sports, Alternative, Snowboarding",73,8.0,Nintendo,N/A,"Dec 1, 2003",E
18 WHEELER: AMERICAN PRO TRUCKER,"Get behind the wheel of a 60-foot-long, 20-ton, 18-wheeled truck and buckle up as you drive in locations from New York to California. 18 Wheeler: American Pro Trucker features arcade-style racing in four gameplay modes: arcade, parking, score attack, and versus. You'll transport cargo and race against other truck drivers--all while protecting your rig from damage. In versus mode, you can take on a friend in split-screen action on four different raceways.","Genre(s): Driving, Racing, Arcade",52,6.2,Acclaim Studios Cheltenham,N/A,"Feb 18, 2002",E
2002 FIFA WORLD CUP,"Kick off the FIFA World Cup season with 2002 FIFA World Cup, which captures every moment of glory, every emotion, and every sound of the global event. The game boasts licenses from the official FIFA World Cup, insignia, mascots, and the 20 new World Cup stadiums in Japan and Korea. Another enhancement includes Air Play, a new control scheme that delivers intuitive one-button headers, volleys, scissors kicks, juggling, and more. Choose your team and then compete in a seven-game series beginning with round-robin play, followed by playoffs that lead to the final match.","Genre(s): Sports, Traditional, Soccer, Sim",78,7.4,EA Sports,N/A,"Apr 30, 2002",E
4X4 EVO 2,"Take the wheel of a mighty 4x4 machine and let loose on huge, incredible detailed tracks. Build the baddest race truck the world has ever seen, and claw your way to the front of the pack... by any means necessary.","Genre(s): Driving, Racing, Rally / Offroad",56,8.2,Terminal Reality,N/A,"Sep 9, 2002",E
AGGRESSIVE INLINE,"Aggressive Inline pushes your inline skating skills to the limit with a new Juice Meter, challenging objectives, and expansive levels. You can choose from an array of professional inline skaters--including Jaren Grob, Chris Edwards, and Shane Yost--and showcase your talent in various interactive skate parks. Perform a variety of manuals, grinds, big-air tricks, wall flips, hand plants, and more, to build up your Juice Meter and avoid elimination. Aggressive Inline also includes a Park Editor that lets you design your own skate park, complete with rails, ramps, and pipes.","Genre(s): Sports, Alternative, Skating",88,7.5,"Z-Axis, Ltd.",N/A,"Jul 31, 2002",T
ALIEN HOMINID,"Your UFO has crash landed, and the FBI is out to get you! Time to take them out!","Genre(s): Action, Shooter, Scrolling",78,8.3,The Behemoth,N/A,"Nov 23, 2004",T
ALL-STAR BASEBALL 2002,The GameCube version of All-Star Baseball 2002 exhibits many of the traits inherent to a port and ultimately fails to impress.,"Genre(s): Sports, Traditional, Baseball, Sim",66,6.3,Acclaim,N/A,"Nov 17, 2001",N/A
ALL-STAR BASEBALL 2003,"If you're looking for a simulation-style baseball game for your GameCube, All-Star Baseball 2003 is the best and only option.","Genre(s): Sports, Traditional, Baseball, Sim",83,8.0,Acclaim,N/A,"Feb 25, 2002",E
ALL-STAR BASEBALL 2004,"Not only does All-Star Baseball 2004 simulate professional baseball, but it also gives you a look into baseball's history and homes. Now, in addition to today's baseball stars, you can play history's greatest players, from the MLB to the Negro Leagues. Take a panoramic tour of each stadium while learning about interesting facts and features. If you're new to the game, all-star Derek Jeter will guide and instruct you in the new Rookie mode tutorial.","Genre(s): Sports, Traditional, Baseball, Sim",80,8.2,Acclaim,N/A,"Feb 23, 2003",E
AMAZING ISLAND,"The Black Evil has taken over Amazing Island and captured its natives, the Maboo tribe. Now it's up to you to defeat the Black Evil, take back the land, and return it to its rightful owners. To do so, you must use your imagination to create your own monster and enter it in a series of competitions involving timing, speed, and head-to-head battles. The victor receives magical orbs that hold the power of the island and the keys to returning peace and prosperity to Amazing Island.","Genre(s): Strategy, Breeding/Constructing",59,7.0,Hitmaker,N/A,"Aug 25, 2004",E
