title,description,genres,meta_score,user_score,developer,platform,release_date,rating
007: QUANTUM OF SOLACE,"Introducing a more lethal and cunningly efficient Bond, the game blends intense first-person action with a unique third-person cover combat system that allows players to truly feel what it is like to be the ultimate secret agent as they use their stealth, precision shooting and lethal combat skills to progress through missions. Blending the action of the ""Quantum of Solace"" feature film with the ""Casino Royale"" movie, the title propels players into the cinematic experience of international espionage. Based on the Call of Duty 4: Modern Warfare game engine that has been specifically engineered to immerse players in the Bond universe, the Quantum of Solace game delivers high-definition graphics, reactive AI and visually stunning locations inspired by locales portrayed in the films. Quantum of Solace marks the first time players can become the dangerous and cunning Bond as portrayed by Daniel Craig. From silent take downs and sneaking through confined spaces, to one-on-one shoot outs and large scale battles, players experience a variety of gameplay that challenges them to think through situations and choose how they progress, whether it's through covert means or confronting enemies in full force. Advanced combat and Realistic AI: Players engage in both first-person and third-person gameplay that allows gamers to be Bond in unscripted battles against the world's most evil villains and mercenaries. Filled with armed combat, massive explosions and vertigo-inducing chases, gamers are immersed in an authentic Bond universe and drawn into epic movie moments with theatrical camera angles, split screen effects, picture-in-picture sequences, and amazing environments inspired by real world locations such as Montenegro, Venice, Bolivia and Austria. Bringing James Bond to next-gen consoles for the first time, gamers now have the ability to battle online in a variety of modes. [Activision]","Genre(s): Action, Action Adventure, General, Modern, Shooter, First-Person, Modern, Arcade",65,tbd,Vicarious Visions,N/A,"Nov 4, 2008",N/A
1 VS. 100,"1 vs. 100 puts you in the hot seat as you play against 100 mob members! Answer the questions correctly and eliminate the mob members. If you give the wrong answer, the game is over! 1 vs. 100 for the Nintendo DS recreates the fun of the hit TV show, while 4 additional game modes bring on new and competitive excitement. The multiplayer aspect is key; competition will add to the nerve-racking decision-making of the traditional TV show. The game features TV host Bob Saget. [DSI Games]","Genre(s): Miscellaneous, Trivia / Game Show, Trivia / Game Show",38,3.5,ECI,N/A,"Jul 3, 2008",E
100 ALL-TIME FAVORITES,"With 100 All-time Favorites, you can rediscover your favorite classics. Choose among a great variety of board games, card games and puzzles.","Genre(s): Miscellaneous, Puzzle, Puzzle, General, General",N/A,6.3,Ubisoft,N/A,"Oct 27, 2009",N/A
100 CLASSIC BOOKS,"It was the best of times, it was the worst of times - the iconic opening line from ""A Tale of Two Cities"" by Charles Dickens. Well, now you can definitely enjoy the best of times with Mr Dickens and scores of his fellow writers with the 100 Classic Book Collection on Nintendo DS! Turn your Nintendo DS into a pocket-sized library with 100 timeless novels from some of the greatest writers in history. Enjoy the exciting escapades of the swashbuckling Long John Silver in ""Treasure Island"", marvel at the redoubtable skills of the most famous detective of all time in ""the Adventures of Sherlock Holmes"", or run the course of true love with Elizabeth Bennet in ""Pride and Prejudice"" - the choice is yours! Entering this world of words couldn’t be easier - simply hold your DS like a book and use the stylus to effortlessly turn the pages. You can adjust the text size to whatever suits you best and a bookmark feature means dog-eared pages are a thing of the past. Can’t decide what you’re in the mood for? The 100 Classic Book Collection allows you to search for books in a number of different ways, such as subject matter and length, meaning you can find a suitable story in seconds. As well as the novels, you can access book introductions and find out more on the authors themselves - there are also additional books that you can download via Nintendo Wi-Fi Connection! [Nintendo]","Genre(s): Miscellaneous, General, Application",70,6.5,Genius Sonority Inc.,N/A,"Jun 14, 2010",N/A
1001 BLOCKBUSTERS,"Enjoy classic gameplay, amazing 3D graphics and surprising bonuses as you smash through 1001 levels of blockbusting excitement! Use the stylus to catch, bounce and bust balls through complex 3D constructions in 4 eye-popping worlds: Stone Age, Ancient Greece, Candy World and Fantasy Forest. Beat your best score by collecting wild powerups, including weapons, magnetic paddles, shields and more. But watch out for hidden hazards and booby traps—unless you like extra-small paddles and crazy camera angles! With over a dozen bonuses, 300 kinds of blocks and 1001 incredible 3D levels, 1001 BlockBusters is non-stop, no-holds-barred, action-packed fun!","Genre(s): Action, General, General, Arcade",55,tbd,N/A,N/A,"Oct 13, 2011",N/A
1001 CRYSTAL MAZES COLLECTION,"[DSiWare] Give your brain a workout with 1001 Crystal Mazes Collection, the deceptively simple jewel logic game. It's easy to learn but hard to master. Your task is to push the crystals forward to their target destinations one at a time. It sounds simple, but be careful. You can push your jewel into an impossibly locked position if you don't plan ahead. As the mazes get harder and the crystals pile up, you'll need clever thinking to clear the labyrinth. With more than 1,000 jewel-filled puzzles, this fun collection will challenge your mind and push your skills to the limit.","Genre(s): Miscellaneous, Puzzle, Puzzle, Logic, Logic",N/A,tbd,Teyon,N/A,"May 3, 2010",E
1001 TOUCH GAMES,"1001 Touch Games brings you the best collection of pick-up-and-play touch games available, all with full stylus control!","Genre(s): Action, General, General",N/A,tbd,Avanquest Software,N/A,"Oct 18, 2011",N/A
101 DOLPHIN PETS,"Choose from more than 101 baby dolphins or simply adopt them all. Discover their personalities as you feed, clean and care for your new pets. Bring out your pet's talents by training your dolphin in a variety of fun activities. Enter your dolphin into pet shows and earn money to buy exciting upgrades such as toys, food, clothes and accessories. The more tricks you teach and the more games you play, the more fun you'll have. You'll never be bored with so many new friends to play with, pamper and love.","Genre(s): Simulation, Miscellaneous, Virtual Life, General, Virtual, Virtual Life",N/A,tbd,Teyon,N/A,"Jan 31, 2011",E
101 MINIGOLF WORLD,"[DSiWare] 101 MiniGolf World is one of the first-ever 3-D miniature golf games for the Nintendo DSiWare service. Your stylus becomes the putter for an incredibly fun mini-golf experience. Play more than 100 challenging holes solo or with up to eight players on one system. Send your ball flying through loops, pipes, arches, extreme ramps and mind-blowing obstacles. Enjoy a combination of real golf rules and wacky mini-golf fun. [Nintendo]","Genre(s): Sports, Traditional, Individual, Golf, Arcade, Arcade",N/A,tbd,Teyon,N/A,"Mar 15, 2010",E
101 PINBALL WORLD,"Get ready for fast-paced pinball action with a twist! Complete special objectives to earn fun bonuses as you shoot your ball through pipes, up ramps and around mind-blowing obstacles. Choose from 2 game modes, Quick Play and Random, and blast through over 100 fun tables on 4 exciting worlds filled with eye-popping details. Be a pinball wiz in Wizard World, go on a galactic adventure in Alien Spaceship, enjoy a spooky trip through Halloween and become a buccaneer in Pirate's Bay. Rack up enough points to top the High Scores and you'll be the pinball champ.","Genre(s): Action, Miscellaneous, Parlor, Pinball, Pinball",N/A,tbd,Teyon,N/A,"Jan 12, 2012",E
101 SHARK PETS,"Choose from over 101 baby sharks or simply adopt them all! Discover their personalities as you feed, clean and care for your new pets. Bring out your pet's talents by training your shark in a variety of fun and wacky activities. Enter your shark into pet shows and earn money to buy exciting upgrades including toys, food, clothes, accessories and more! The more tricks you teach and the more games you play, the more fun you'll have! You'll never be bored with so many new best friends to pamper, play with and love!","Genre(s): Simulation, Miscellaneous, Virtual Life, General, Virtual, Virtual Life",N/A,tbd,Teyon,N/A,"Jul 5, 2010",N/A
101-IN-1 EXPLOSIVE MEGAMIX,"Welcome to the home of 101 mind-blowing mini-games for all tastes! Whether you like puzzle games, sport games or fast-paced arcade action, you'll definitely find something to suit you here! You can play alone or team up with your friends in wireless VS battles.
Jump in - ten of hours of games await you! [Nordcurrent]","Genre(s): Miscellaneous, Puzzle, Action, Puzzle, Party / Minigame, Action",46,tbd,Nordcurrent,N/A,"Apr 21, 2009",N/A
