title,description,genres
007 LEGENDS,"007 Legends ties together five classic Bond movies and his latest outing, Skyfall, in one video game.","Genre(s): Action, Shooter, Shooter, First-Person, Modern, Modern, Arcade"
1001 SPIKES,"Aban Hawkins & the 1,001 Spikes is a 2D platformer where you have 1,001 lives to beat the game.","Genre(s): Action, General, Platformer, Platformer, 2D, 2D"
140,"At its heart 140 is an old-school platformer set in a world of abstract colorful graphics, but it has a musical twist. You’ll need to overcome obstacles that are controlled by an energetic, yet melancholic electronic soundtrack - meaning you’ll need a heightened sense of rhythm to sync up your every move and jump to the music.","Genre(s): Action, Platformer, 2D"
153 HAND VIDEO POKER,"153x the fun of regular video poker

One of the most fun card games you can play alone. 153 Hand Video Poker fills your screen with multiple hands. After the hands are dealt you will hear a corresponding piano chord based on the rank of that hand. So winning will be music to your ears.","Genre(s): Miscellaneous, Gambling"
360 BREAKOUT,"Offers single player, two player co-op and two player VS mode. Play through 20 exciting levels on your own or together with a friend while aiming for a new highscore.","Genre(s): Action, Arcade"
3SOULS,"Discover the world of Mustland with Nelesa in the sad cells of Moon Prison with this first episode of 3Souls. In this 2D puzzle-platformer, players must utilise the unique features of the Wii U GamePad to solve puzzles and the touch screen to glimpse into the thoughts and feelings residing within Nelesa's soul. A second player can join in on the journey to help you with the platformer parts of the game in local Co-Op Mode.

3Souls is an episodic game, structured in 3 separate episodes. With this purchase you will receive the starting episode 1. Episode 2 and 3 will be available later as chargeable downloadable content.","Genre(s): Action, Action Adventure, Platformer, 2D"
6-HAND VIDEO POKER,"Bring Las Vegas to your Wii U!

Bring all the fun and excitement of casino-style Las Vegas video poker to your Wii U! Just like the video poker you play in the casino, only better! Featuring multiple hands, unlimited play, a realistic pay-table and a moving Las Vegas theme. 6-Hand Video Poker is a good bet!","Genre(s): Miscellaneous, Gambling"
6180 THE MOON,"Let's super high jump through the screen! 6180 the moon is a platformer game with a unique mechanic. It offers a fresh, unseen game play style by connecting the top and bottom of the screen. This allows in a mechanic with delightfully long jumps and no fear of ""slipping"" to death.
In addition to the unique gameplay, 6180 the moon delivers a unique storyline. The Sun has gone. The Moon sets off on a journey to find the Sun. Along the journey will be hazardous courses and deep realizations.","Genre(s): Action, Platformer, 2D"
8BIT HERO,"5 Player Retro Arcade Chaos

Team up with 4 friends to hack and slash your way through eight worlds in this retro arcade adventure. Power up by exploring a secret-filled 8bit world. Customize attacks by equipping special weapons and tools hidden throughout the journey. Extend hit points by collecting hidden pixel pieces and power up by spending loot on equipment upgrades.

Features:
-Up to 5 players can team up locally for a Co-Op adventure.
-Explore over 30 challenging levels and find all their hidden secrets.
-This game can be played off-TV on the Wii U GamePad, even while the TV is being used by someone else.
-3 different challenging game modes make the adventure even more heroic. Choose from Casual, Arcade, or Hardcore mode to better fit your play style.","Genre(s): Action Adventure, General"
99MOVES,"After 99Bullets and 99Seconds, the saga continues. Now your problem will be the movements.

99Moves, a retro arcade game where you will have to survive with just 99 Movements.

Without a heading in the galaxy, all was lost because your energy was about to run out... gravity would chart the course of your destiny... Suddenly, V-99 entered a zone called Shaders, which provided energy... It was a new opportunity to survive. However, it was not all good news, as you only have 99 energy pulses to move through the Shaders zone.","Genre(s): Action, General, Arcade"
99SECONDS,"The saga continues after 99Bullets. Now your problem isn't the number of bullets, rather the amount of time. 99Seconds, a fun, retro-style video game, where you can modify time to avoid all kinds of dangers. After finishing off Black Eye, V-99 entered a mysterious zone called Bit 8, without knowing why V-99 could modify time, slow it down and even stop it. But everything became complicated with the appearance of the BLACK VECTORS: mysterious beings that aim to destroy any intruder who reaches Bit 8.","Genre(s): Action, General, Arcade"
A DAY AT THE CARNIVAL,"Check out our version of a Street Carnival

Try out our version of a Street Fair! Here you can play several mini-games and win a prize, score enough points and you will unless a secret level which is a MUST for every street fair! Missing are the crowds, annoying vendors, the pushing and shoving - if you miss those things then bring the crowd with you as you play!","Genre(s): Miscellaneous, Party / Minigame"
A WORLD OF KEFLINGS,"Play as a giant to help the tiny Keflings build up and beautify their Kingdom. Start out small, unlocking new blueprints, buildings and tasks as you work towards designing and building a Kefling castle. Create your own private world, or construct a kingdom with your friends online!","Genre(s): Strategy, Breeding/Constructing, General, Management, Breeding/Constructing, Government"
ABSOLUTELY UNSTOPPABLE MINERUN,"A challenging auto-runner for 1 to 5 players.

Absolutely Unstoppable MineRun is a challenging auto-run platformer. The lava keeps rising and the Miner is out of control, so you'll need to use carefully timed jumps and double jumps to reach the top safely.

-Play dangerously for bigger scores stay close to the lava for bonus multipliers
-16 vertical levels, ranging from very easy to almost impossible
-3 objectives per level for extra challenge
-2 multiplayer modes for up to 5 players (Additional Wii Remote controllers required)
-In multiplayer, expert players can control 2 Miners using a single Wii Remote
-Describe & Draw multiplayer mode draw clues on the Wii U GamePad for other players to guess. Drawings will obscure the gameplay, but correct guesses will add seconds to the timer
-Unlockable Endless single player mode
-3 save files high scores are shared between the files","Genre(s): Action, Platformer, Arcade, 2D"
ABYSS,"Explore the abyss!

Earth, 3024.

Natural resources are scarce and the survival of the human race is in danger. Desperate to find new energy resources, the ASAN creates a biomechanical robot called Nep2no that is capable of withstanding extreme depths in the hope of finding new energy sources. After many years of exploration, a new energy source is found, code named ""Gaia"".

Your mission will be to find the ""Gaia"" energy stones by exploring the depths. To do so, you must control Nep2no by counteracting gravity and the surrounding darkness with the aid of a Light that will go out little by little.","Genre(s): Action, General, Platformer, 2D"
ACE: ALIEN CLEANUP ELITE,"ACE - Alien Cleanup Elite is a 90's inspired arcade game. Get the highest score, and don't get killed out there!","Genre(s): Action, Platformer, 2D"
ACT IT OUT! A GAME OF CHARADES,"Everyone's favorite word-guessing party game is now available on your TV! Act out the secret phrase and let the other players in your living room guess what it is. And for maximum entertainment the game also has additional modes where you have to sing, draw or describe the hidden phrase.

PLAY IN THE LIVING ROOM, OR STREAM WITH THE WORLD:
Supports 2 - 8 players with only one DUALSHOCK4 Wireless Controller needed
Play cooperatively, build teams or have the whole living room competing against each other

HIGH-QUALITY CONTENT:
Over 1,500 hand-picked high-quality phrases so you dont have to come up with them!
Multiple categories: Films, Video Games, Music, TV, Books, Theater, Proverbs, and more!

ACT IT OUT! A Game of Charades is great with groups and perfect as an icebreaker!

(Game playable in English, French, Italian, German, Spanish and Dutch)","Genre(s): Miscellaneous, Trivia / Game Show, Party / Minigame"
ADVENTURE PARTY: CATS AND CAVERNS,"Like a tabletop RPG without the table. Every party should be an adventure!

Old school tabletop RPGs too overwhelming? This gives a similar experience without all the setup that is usually needed. Adventure Party is a unique story driven role playing party game where one player plays as the Storyteller. The Storyteller uses the Wii U GamePad to control the world and interact with the other players. This is done like a tabletop, pen and paper, RPG allowing all players to focus on Role Playing. The other players are the Adventurers and when they interact with the world they need to interact with the Storyteller. The Storyteller takes on the role of a villager, shop keep, enemy, or anyone else the adventurers interact with. This allows the storyteller to tailor the story and comedy of the situation to fit their friends. This creates unique and hilarious situations as the Storyteller guides their friends through the story on an epic quest to save the world! The Adventurers will need to remain together and make decisions as a group in order to succeed.","Genre(s): Role-Playing, General, Western-Style"
ADVENTURE TIME: EXPLORE THE DUNGEON BECAUSE I DON'T KNOW!,Adventure Time: Explore the Dungeon Because I DON'T KNOW has you save the Candy Kingdom by exploring the mysteries surrounding a massive Secret Royal Dungeon deep below the Land of Ooo.,"Genre(s): Action Adventure, Fantasy, General, Fantasy"
ADVENTURE TIME: FINN & JAKE INVESTIGATIONS,"Adventure Time: Finn and Jake Investigations is an all-new, real-time, fully 3D action-oriented twist on the classic story-driven graphic adventure game. Finn and Jake decide to carry on the profession of Finn's foster parents, who were Professional Investigators. Confronted with mysterious Land of Ooo disappearances and strange events, players will interrogate colorful inhabitants, dispatch evil doers in fast-paced combat, solve mind-bending puzzles, explore new and familiar locations, and genuinely feel as if they have stepped into their own personal episode of Adventure Time.","Genre(s): Adventure, 3D, Third-Person"
ADVENTURES OF PIP,"Play as the Ultimate Digital Underdog!

Adventures of Pip, is an action-platformer with a fresh gameplay twist inside a retro 32-bit world. Alas, Pip is an unlikely 1-pixel hero yet has the unique ability to absorb the pixels of his defeated enemies to evolve into three different forms. Players will skillfully switch between these three forms while exploring five worlds on an epic 10-hour campaign to defeat the Skeleton Queen.

FEATURES:
-Switch between three different evolution forms to complete each level. Each form has its own advantages and disadvantages.
-Travel through different lands in search of the Skeleton Queen. Each land has different obstacles that will require you to switch between your forms.
-Rescue trapped villagers inside the levels. Different villagers can open up new shops in the village Aiding Pip in his quest.
-Fight unique epic bosses in the world using your different forms. Remember bigger isnt always better.
-Use your Wii U GamePad controller to access your inventory quickly or to fast travel throughout the land.","Genre(s): Action, Platformer, 2D"
AENIGMA OS,"Puzzle game with skill, not luck. Innovative, deep and lengthy.

Looking for a puzzle game all about skill, rather than luck?

Aenigma Os may look familiar, but plays like nothing else youve seen before. Innovative gap-based matching, and refills controlled by you, the player, add layers of depth beyond anything else out there.

Plan ahead, move key pieces to where you need them, and go up against hundreds of levels, puzzles and varied modes. Oh and MULTIPLAYER to boot!

With great gameplay and scores of hours of content, not to mention banging tunes and beautiful, animated backgrounds, whats not to like?","Genre(s): Puzzle, Matching"
AFFORDABLE SPACE ADVENTURES,"Affordable Space Adventures is a 2.5D side scrolling spaceship simulator. You are using the GamePad as a Heads Down Display - spaceship cockpit, and you have to configure all the systems in order to fly around undetected on an alien planet. You can either pilot the Small Craft TM solo, or fly as a crew of 2 to 3 players, requiring a lot of communication between the players.","Genre(s): Scrolling, Action, Shooter, Shoot-'Em-Up, Vertical, Horizontal"
ALICE IN WONDERLAND,"Explore a wonderful new world. Meet colorful characters. Choose your own adventure.

Experience a new visualization of Lewis Carroll, Alice's Adventures in Wonderland (originally released in 1865). View the full unaltered story that has been discussed by scholars for generations. Discover unique and original characters in the amazing world of Wonderland. Wonderful thrills for your heart and mind await in this timeless tale.","Genre(s): Miscellaneous, Edutainment"
ALPHADIA GENESIS,"A Battle of Epic Proportions!

Alphadia Year 1092: Fifteen years have passed since the end of the terrible Energi Wars, where clones were used as weapons. Two kingdoms, after nearly destroying each other and the natural resources of Energi, signed an important peace treaty, and have been co-operative neighbors ever since: Augustine and Archleign, where the story of Alphadia Genesis begins.

Alphadia Genesis boasts a rich, complex story starring Fray, a member of the local guild, and Corone, a knight. As their journey progresses and conflicting national interests come to the forefront, it becomes apparent that it may take more than a little work on both their parts if their relationship is to weather the foreboding storm on the horizon.

3D battles feature beautifully rendered graphics, dynamic camera angles, and more skills than you can shake a sword at!","Genre(s): Role-Playing, Console-style RPG, Japanese-Style"
AMIIBO TAP: NINTENDO'S GREATEST BITS,"Discover definitive moments of classic Nintendo games while exploring the company's catalogue and legacy. Simply tap any amiibo figure to the Wii U GamePad controller to unlock scenes from NES and Super NES Wii U Virtual Console titles! You never knowthe next game you try may become one of your new all-time favorites!

Grab an amiibo from your collection and tap it to the GamePad to receive a gift! Each gift contains select scenes from a random NES or Super NES game included in this software's selection of titles. Dont worry about which amiibo to useevery amiibo unlocks bits to play! After un-wrapping your gift, you can dive right into a three minute gameplay scene that introduces you to that game. Then switch to another scene by tapping the same amiibo to the GamePad again. Want more gifts? No problem! You can receive another gift by tapping a different amiibo at any time!

-Discover the joy and legacy of NES and Super NES on the Wii U Virtual Console service
-Dozens of games and scenes to discover
-Each amiibo figure unlocks a random game to sample included in this software's selection of titles
-Each game contains multiple scenes that last for three minutes
-Compatible with all amiibo figures","Genre(s): Miscellaneous, Application"
ANGRY BIRDS STAR WARS,"Join an epic adventure with the Angry Birds in the legendary Star Wars universe, re-mastered for gaming systems! Use the Force, wield your Lightsaber, and blast away Pigtroopers on an intergalactic journey from the deserts of Tatooine to the depths of the Pig Star! Can you become a Jedi Master and restore freedom to the galaxy?","Genre(s): Strategy, Puzzle, Action, General, General"
ANGRY BIRDS TRILOGY,"Angry Birds is taking flight for the first time ever and crashing on game consoles everywhere! 3 Best-Selling Angry Birds games in 1, 19 exclusive levels and over 100 hours of addictive gameplay!","Genre(s): Action, Miscellaneous, General, General, Compilation"
ANGRY BUNNIES: COLOSSAL CARROT CRUSADE,"Angry Bunnies: Colossal Carrot Crusade is challenging physics-based demolition with addictive gameplay.

There are 150 fun levels to enjoy, perfectly suited for short bursts of gaming. Use skill and logic to save bunnies from cunning fox. Collect carrots and submit your score to show everyone who the best player is!

Game Features:
-150 streamlined levels
-Challenging physics-based demolition
-Comical characters with special abilities
-Hours of gameplay and replay value
-Internet Rankings","Genre(s): Puzzle, Action"
ANGRY VIDEO GAME NERD ADVENTURES,Angry Video Game Nerd Adventures makes it way on to Nintendo consoles.,"Genre(s): Action, Platformer, Platformer, 2D, 2D"
ANIMAL CROSSING PLAZA,"A plaza for all things Animal Crossing. Share your village accomplishments, favorite animals, and more with people from around the globe.

Animal Crossing Plaza is a place to chat about your favorite Animal Crossing villagers, post photos of various happenings at your village, and show off the designs you're most proud of.

Visiting this space through the Animal Crossing Series Community within Miiverse allows you to post comments with text or handwriting, post pics, read posts from other people, and more.

You never know what you might discover. Visit today and you just might find a fresh way to enjoy Animal Crossing, from viewing villages around the world to exchanging stories and ideas.

You'll see a wide variety of animals gathering around your Mii character at the square. Some of them might be having a birthday, while others may have come as part of an event in Animal Crossing: New Leaf. They'll chat about all kinds of things-and you'll be able to view their posted comments.

If you come across an animal you'd like to know more about, select it on the Wii U GamePad. You'll see its name, birthday, and other profile info, and you can also post comments about it and read what others have said. If you decide you want to see a lot more comments, you can access the Miiverse Community right away.

You can also set that animal as your favorite, so it'll always be in the plaza when you visit.

You can save screenshots that you've taken in Animal Crossing: New Leaf to your Wii U console.

You can register town names, details, and Dream Addresses from Animal Crossing: New Leaf to your Mii profile for anyone to view. Once the information has been registered, you can use the Dream Address of a user who posted comments you like and go to their village to hang out.

By selecting the bulletin board in the plaza, you can enter the Miiverse Animal Crossing News Community to check for Animal Crossing official website updates and other news items.","Genre(s): Miscellaneous, General, Application"
ANIMAL CROSSING: AMIIBO FESTIVAL,"The Animal Crossing: amiibo Festival game is a new way to play with your favorite Animal Crossing characters. Your amiibo figures are front-and-center in this party game, and you’ll get to utilize them with fun content. Bring to life an expansive and dynamic board game where the board is based on the months of the year like the core Animal Crossing series. The goal? Make your villager the happiest in town and party hard with your friends.","Genre(s): Miscellaneous, Board / Card Game"
ANIMAL GODS,"A beautifully illustrated, 2D top-down game with a focus on zen-like journeying, light puzzling, precision-platforming and fallen gods.

The Animal Gods have fallen. Once sacred, they are now huskshaunted beasts lost to toxic fumes from a great bronze industry. Play as Thistle, a small & agile warrior hellbent on destroying the curse that plagues these creatures. Wield a 17th century BC Bronze Sword... and set the Gods free.

Key Features

Cloak of Flame
Dash / warp through toxic-maze like rivers. Dashing moves Thistle a fixed distance over a fixed amount of time and upgrades to The Long Dash.

Map of The Unholy
Lets you choose dungeons in any order. Journey to the Gardens of Gwyn, the Halls of Eynd, and the Coast of Syn. Find the weapon and weapon upgrade in each dungeon to defeat the Animal Gods.

Light Puzzling
Puzzles rely on approximately 75% skill and 25% strategy. Each dungeon asks players to assess the obstacle ahead and approach cautiously. Puzzles are largely skill-based requiring a hint of strategy and luck.

Character Driven Story
Find notes left by occult-leader Rodrik, starry-eyed Juliette and Scientist Sven. Animal Gods' story balances the relationship between three key characters and their ties to the dark underbelly of the City of Sky Mirror.

Lives-09-Mode
09-Lives mode unlocks after successfully completing Animal Gods on ""normal"" and challenges you to complete dungeons with 09-lives or less.","Genre(s): Role-Playing, Action RPG"
ANNIHILATION,"A top down arcade shooter in pixel form! Blast waves of enemies and protect your base at all costs in Annihilation!

Annihilation is a top down arcade shooter. Defend your base from waves of enemies that spawn in random variations for endless fun. Try to earn high scores and go for perfect scores! Grab a friend and fight off waves of enemies together in a special Co-op mode. Prepare for the onslaught in, Annihilation.","Genre(s): Action, Shooter, Shoot-'Em-Up, Top-Down"
ANOTHER WORLD: 20TH ANNIVERSARY EDITION,"Also known as Out Of This World, Another World is a pioneer action/platformer that released across more than a dozen platforms since its debut in 1991. Along the years, Another World has attained cult status among critics and sophisticated gamers alike.

Another World chronicles the story of Lester Knight Chaykin a young scientist hurtled through space and time by a nuclear experiment that goes wrong. In an alien and inhospitable world, you will have to dodge, outwit, and overcome the host of alien monsters, while surviving an environment as deadly as your enemies. Only a perfect blend of logic and skill will get you past the deadly obstacles that lie in wait.","Genre(s): Action, Platformer, 2D"
APERION CYBERSTORM,"Unleash destruction alone or with your friends in the 2D twin-stick bullet hell Aperion Cyberstorm!

Find new Elements and Abilities, and mix them for more destructive power Beat your enemies with plasma-coated spiral rockets, scrap them with electric mines, or overwhelm them off with devastating lasers.

Travel to vast hostile worlds in Campaign to find your old team. Push through the factions standing in your way to the truth. Also, with cooperative play, experience an added challenge as the enemies you fight become tougher.

Versus is the true test of friendship. Don't lose your focus by collecting power-ups in the map for instant abilities, elements, and maybe, a chance to survive. Versus comes with eight fully customizable rule sets, for quick scraps or longer fights. Go it alone in Free-For-All, or buddy up in Team Battles and share the victory. Add up to four AI players for true 5 player battles!

Finally, in Onslaught, your enemies won't stop until you're defeated, so stand your ground. Survive long enough to unlock new maps.

Good luck.","Genre(s): Action, Shooter, Shoot-'Em-Up, Top-Down"
AQUA MOTO RACING UTOPIA,"Experience the thrill of high-powered watercraft and break-neck stunts in a utopian world. Race through heaving oceans along sandy beaches in the Tropics, Greece and Africa. Perform insane stunts and go around the buoys closely to charge your turbo and get the edge against your opponents. Earn cash by participating in races and spend it on better jet-skiis. Unlock new Championships and Achievements on your quest for Legendary Status. Compete against your friends in local and online multiplayer mode multiplayer mode.","Genre(s): Driving, Racing, Arcade, Other"
AQUA TV,"Aqua TV is a stunning, fully customisable virtual aquarium.

Choose a tank then change the floor, walls, decoration - and of course fish - to make the aquarium you want!

All rendered in glorious CGI.

-Beautifully created and animated CGI fish
-Loads of customisation options to make the tank look just as you want
-Stunning tropical reef to host sharks, turtles and manta rays
-Shuffle mode to switch between multiple tanks at random
-View tanks from the front, or from above!","Genre(s): Miscellaneous, Application"
ARCHERY BY THORNBURY SOFTWARE,"Archery is an archery tournament with multiple levels ranging from easy indoor target ranges to outdoor target ranges with various animal-shaped targets both moving and stationary. The levels range from easy indoor, sharp-shooter targets, outdoor targets with animal-shaped targets which in several levels move and are more challenging to hit. Get the number of points required in each level to move on to the next level. Just wait until you get to the final levels for a big surprise!","Genre(s): Sports, Individual, Other"
