title,description,genres,meta_score,user_score,developer,platform,release_date,rating
#SINUCAATTACK,"Cleverly crafted indie platform puzzler #SinucaAttack arrives on console, bringing its unique blend of pool ball physics and 2D platforming to new players worldwide. Choose your character, customize your cue stick and leap into a series of fast-paced room escape puzzles where pool balls are your greatest weapons.

With each room you enter, challenges get increasingly complex, introducing new stage gimmicks to manipulate and obstacles to overcome. Ricochet your shots off the floor, ceiling and walls to activate switches and open doors. Even use jet packs to reach new heights as stages go vertical! But watch out for pitfalls, and be careful not to trap yourself inside!","Genre(s): Puzzle, Action",,tbd,EastAsiaSoft,PlayStation 5,"May 20, 2022",E
"#WOMENUP, SUPER PUZZLES DREAM","Puzzles move onto the next level with 'Super Puzzle Dream', a mix between classic jigsaw and a 'Tetris'-style dynamic mechanic.

#womenUp! is the 'hashtag' for this programme, which dedicates beautiful illustrations and emotive phrases to women on completion of every puzzle.

Two levels of play, 'senior' (for adults) and 'junior' (for children aged 3+), guarantee hours of entertainment for all.

Become an expert and finish the puzzles in the shortest possible time and you will find yourself amongst the best in the world on the online leaderboard.","Genre(s): Puzzle, Stacking",,tbd,e-llusiontertainment,PlayStation 5,"Jan 27, 2023",
"#XMAS, SUPER PUZZLES DREAM","Puzzles move onto the next level with 'Super Puzzle Dream', a mix between classic jigsaw and a 'Tetris'-style dynamic mechanic.

Two levels of play, 'senior' (for adults) and 'junior' (for children aged 3+), guarantee hours of entertainment for all.

Become an expert and finish the puzzles in the shortest possible time and you will find yourself amongst the best in the world on the online leaderboard.","Genre(s): Puzzle, Stacking",,tbd,Jorge Fernando Biedma Azuar t/a e-llusiontertainment,PlayStation 5,"Dec 23, 2022",
0 DEGREES,"A snow-covered wonderland of platforming action awaits in 0 Degrees, a chill puzzle experience for players of any age or skill level!

Take control of a bundled-up pixel art climber as they make their way across icefields, up frosted peaks, through dark caves and over treacherous pitfalls! Help them survive mysterious hazards and overcome brain-teasing obstacles that span 40 unique levels.","Genre(s): Action, Platformer, 2D",,tbd,EastAsiaSoft,PlayStation 5,"Dec 31, 2021",E
112TH SEED,"Life must find a way!

In a future where Earth has become uninhabitable and food is so scarce that most of humanity has perished, take the role of a seed that could restore hope! Make your way through the last labs constructed to cultivate a plant species capable of surviving any environment.

Solve puzzles, avoid traps, grow plants and find an exit in this casual yet challenging pixel art platformer.","Genre(s): Puzzle, Action",,tbd,EastAsiaSoft,PlayStation 5,"Jul 23, 2021",E
20 BUNNIES,"Enter a world of simple pleasures and minimalistic design, where your only goal is to navigate cleverly arranged stages, avoid spikes and locate beautiful rabbit-eared companions hidden in the environment. But beware of hazards! Lose three hearts, and you’ll instantly respawn at the beginning, with your bunny counter reset to zero. You’ll need to find them all without dying in order to proceed to the next stage and unlock an adorable image for each one you complete.

Platforms in the foreground are silhouetted against lush hand-drawn backdrops. Clouds pass by overhead, trees sway in the breeze and historical architecture dots the landscape as mellow tunes accompany you on a chill quest of fluffy companionship. Your best times are tracked with each playthrough, inviting you to come back and top your own record.","Genre(s): Action, Platformer, 2D",,tbd,EastAsiaSoft,PlayStation 5,"Nov 19, 2021",E
2MD:VR FOOTBALL UNLEASHED ALL * STAR,"2MD: VR Football Unleashed ALL * STAR is the massive sequel to the groundbreaking motion-controlled VR football game, 2MD: VR Football. Draw the plays and throw, hand-off, catch, and run the ball before the clock runs out!

Throw like a pro with realistic motion controls in a seated, standing, room-scale experience!

Dynamically become the ball-carrier and even catch the ball yourself with assisted and manual receiver control!

Featuring 56 unique teams across 8 leagues including college, arena indoor, professional, and fantasy player types!","Genre(s): Sports, Team, Football, Arcade",,tbd,Truant Pixel,PlayStation 5,"Feb 22, 2023",E
3D BILLIARDS: POOL & SNOOKER REMASTERED,"Step up to the virtual table and show what you can do with a cue! In addition to the pool hall classic eight-ball, you can also play nine-ball, ten-ball and even snooker! Whether alone against the AI or in a duel against a real player on the same console, you'll send balls careening across the table in four selectable, highly-detailed rooms as you work your way up the local high score list. Choose from ten attractive avatars as you duel against AI opponents of varying difficulty levels. Get pumped up by the engaging pool-playing soundtrack. And listen closely for the authentic sound effects, like the clack of the balls, collisions, breaks and the characteristic way the balls roll across the table. Take aim, put a bit of finesse on your shot and play like a real pro.","Genre(s): Action, Sports, General, Individual, Billiards",,tbd,Joindots,PlayStation 5,"Feb 19, 2021",E
3D MINIGOLF,"Minigolf for 1 to 4 Players!

Experience virtual but realistic mini-golf and master an entertaining match on over 54 challenging holes, 18 of which faithfully modelled after official courses in the real world.

Three scenarios in glorious HD are waiting for the discerning mini-golf enthusiast: a lovely green park, a camping site in the mountains and a dreamy sandy beach.

Use your profile to keep track of your statistics. Thanks to the integrated medal system you collect virtual rewards for your best matches. Try improving your own records in Challenge and Tournament mode or face off against your friends in multiplayer mode.

Enjoy exciting most realistic matches with 1-4 players.

3 completely different scenarios (Park, Camping Site, Beach)
54 challenging holes in total
18 official tournament holes
Cutting edge HD graphics
Two exciting single player modes: Challenge and Tournament
Local Multiplayer mode for 2-4 players","Genre(s): Sports, Individual, Golf, Arcade",,tbd,Joindots,PlayStation 5,"Jun 12, 2021",E
41 HOURS,"41 Hours is a first-person shooter dramatic game that follows the narrative of Ethan, a workaholic scientist in search of his long-lost wife. The story is intriguing and it takes several surprising turns as it develops over 11 Chapters and 20 hours of gameplay.

In his journey, you get to:

Use portals for teleportation through the space-time continuum.

Experience extraterrestrial environments.

Fight overwhelming waves of robots and alien-manipulated zombies.

Solve mind-challenging puzzles.","Genre(s): Action, Shooter, First-Person, Arcade",,tbd,Infomunca Recruitment,PlayStation 5,"Oct 19, 2022",T
6SOULS,"6souls is a challenging action-platformer with over 80 levels to beat and 6 bosses to defeat.

Embark on an exciting journey to find the abandoned Clifford Castle and uncover its secrets!
Our heroes, adventure enthusiasts Jack and his faithful dog companion Butch, go on an exciting quest to find an abandoned castle where the entire Clifford family vanished years ago. The whole castle is surrounded by mystery, from its dark dungeons to its highest towers. While discovering new rooms, our heroes will learn fascinating details about the Clifford family, meet the castle's peculiar residents and uncover its secrets.","Genre(s): Action, Platformer, 2D",,tbd,BUG-Studio,PlayStation 5,"Dec 3, 2021",E10+
7 DAYS OF ROSE,"Michael considers himself to be a boring, average 17-year old.
While most of his classmates have discovered their passions and talents, nothing seems to draw his interest. It's finally summer and he's trying to decide what to do with his life after school, when his parents announce a special family trip; One week on a tropical island! An exotic place where nobody knows him... Perhaps this is a chance for him to become someone else; someone interesting! This genius plan is tested when he meets Rose, an intriguing, quirky girl. Entranced by her, Michael spends seven days in her life...

But not everything is what it seems.
What does she hide behind that beautiful smile?","Genre(s): Adventure, Visual Novel",,tbd,Ratalaika Games,PlayStation 5,"Nov 4, 2022",T
8-BALL POCKET,"8-Ball Pocket brings you eight-ball pool, also known as American billiards. You can compete with up to 4 friends or against the AI in Versus mode, or challenge the best in the world in Arcade mode, where you can make combo shots and rack up points to become Number 1 in the online ranking. All of this comes in a setting with great graphics and Jazz music.","Genre(s): Sports, Individual, Billiards",,tbd,Super PowerUp Games,PlayStation 5,"Jan 7, 2022",E
8DOORS: ARUM'S AFTERLIFE ADVENTURE,"""8Doors"" is a story-driven Metroidvania-style action platformer heavily influenced by Korean folktales.

Play as 'Arum', a brave girl that has voluntarily entered the realm of the afterlife in search of her father's soul and help guide her through the '8 Doors of Purgatory' to solve the mysteries that lie deep within. Defeat wretched wraiths blocking your way and rescue fugitive souls who are in need of your guidance.","Genre(s): Action, Platformer, Metroidvania",,,Rootless Studio,PlayStation 5,"Apr 14, 2023",
9 CLUES 2: THE WARD,"After responding to a distress call from a secluded psychiatric hospital, a young detective and her partner find themselves struggling to solve a murder. As they press the patients and hospital staff they find that there are dark truths being kept from them. Each new clue only raises more questions. Who killed Doctor Crow? What drove one of the male nurses insane? Who is Zed Rascov? Why is the name of a little girl, Ginger, carved into the wood-paneled wall of the dead doctor's office? Can you unravel the mystery? Find out in 9 Clues: The Ward!","Genre(s): Puzzle, Hidden Object",,tbd,Artifex Mundi,PlayStation 5,"Jan 6, 2023",T
9 CLUES: THE SECRET OF SERPENT CREEK,"A paranormal private investigator receives a frantic call from her reporter friend Helen, who pleas in a terrified voice for her to leave immediately for the coastal town of Serpent Creek. Urged by her friend's desperate request, the detective arrives at her destination only to find no trace of Helen. Strangely enough, no one from the sleepy town seems to remember seeing the blonde reporter. Weirder still, the town's streets are crawling with snakes, the citizens seem to be sleepwalking through life, and the ground shakes with violent tremors.

Can the detective save her friend, reveal the corruption and hidden agendas of the town's citizens, and stop an evil plot to bring the Snake God back to our world?","Genre(s): Puzzle, Hidden Object",,tbd,Artifex Mundi,PlayStation 5,"Apr 1, 2022",T
9-BALL POCKET,"Enjoy 9-Ball Pocket with friends and family.

9-Ball Pocket brings you eight-ball pool, also known as American billiards. You can compete with up to 4 friends or against the AI in Versus mode, or challenge the best in the world in Arcade mode, where you can make combo shots and rack up points to become Number 1 in the online ranking. All of this comes in a setting with great graphics and Jazz music.","Genre(s): Sports, Individual, Billiards",,tbd,Super PowerUp Games,PlayStation 5,"Dec 25, 2022",E
99 SECONDS,"99Seconds, a fun, retro-style video game, where you can modify time to avoid all kinds of dangers.

After finishing off Black Eye, V-99 entered a mysterious zone called Bit 8, without knowing why V-99 could modify time!. But everything became complicated with the appearance of the BLACK VECTORS: mysterious beings that aim to destroy any intruder who reaches Bit 8.

- Online Ranking!
- Control V-99, dodging, using SLOW DOWN to slow !
- Arcade mobility like in the classic arcade games!
- 4 Players in Arcade and Survival mode!
- Retro-style levels!
- Incredible enemy patterns!","Genre(s): Action, General",,tbd,Super PowerUp Games,PlayStation 5,"Jan 20, 2023",E
A FROG'S JOB,"The omnipotent Frog God has promised you the gift of reincarnation. All you have to do first is to save the lost souls of 40 frogs, which is no easy task. You've been gifted with the ability to suspend and resume time at your will.

Jump over moving platforms, avoid pits, spikes, and enemies, and even create your own hover-board that doubles as a projectile attack!

How many souls can you save? Will the Frog God grant your wish? Find out in this timeless puzzle platformer.","Genre(s): Action, Platformer, 2D",,tbd,9Ratones,PlayStation 5,"Oct 7, 2022",E
A GUMMY'S LIFE,"A Gummy’s Life is a local and online party multiplayer with candy-coated physics-based fights. Choose your favorite gummy, customize it to your taste and show who rules over the sugar! Play with friends, family and/or AIs in multiple manic game modes or while battling online - as easy as taking candy from a baby.","Genre(s): Miscellaneous, Party / Minigame",,tbd,EP Games,PlayStation 5,"Sep 24, 2021",E10+
A HERO AND A GARDEN,"Once upon a time, there was a princess trapped in a tower by an evil witch. Would anyone attempt to rescue her?

A brave hero attempted to save her, but things didn't exactly work out for him! In a twist of fate, our young hero is now forced to repay all the damage he caused to the local monster villagers by growing a garden?

Harvest berries, fulfill requests, and repair the local monster town in this unique visual novel clicker game. Earn enough money to pay back the witch and experience unique character endings!","Genre(s): Adventure, Visual Novel",,tbd,Ratalaika Games,PlayStation 5,"Dec 6, 2022",E
A JUGGLER'S TALE,"A Juggler’s Tale is a cinematic puzzle-platformer. Play as Abby, the marionette, and make your way through a medieval fairy tale world to find freedom. Use the puppet’s strings in unique puzzles, find your way around obstacles, and evade the relentless cut-throats that are hot on your heels – while the puppet master holds the strings firmly in his hands. ""Ladies and Gentlemen! Come in, come in! In the mood for a story, are we?"" Abby is an artiste held captive at a circus: She spends her days entertaining the audience and her nights in a cage, longing for freedom. One day, she escapes the circus and gets to explore a mystical world. Alas, freedom comes at a cost and Abby soon finds herself dragged into the dangers this world has to offer: In a war-torn, medieval fairy tale, surrounded by ravaged, starving citizens and hunted by the relentless cut-throat Tonda, Abby has to cross raging rivers, make it through bandit camps and around traps. Her adventure is always accompanied by the lyrical rhymes of puppet master Jack, who tells her story while holding the strings of his puppets firmly in his ever-helpful hands. Who can Abby trust? Can she find a way to truly break free? Despite dangling from her threads, will Abby learn that she can still influence her destiny? ""Abby, Abby... Don't you see, the threads holding you up – also hold you back.""","Genre(s): Action, Adventure, General, Platformer, 2D",69.0,7.7,Kaleidoscube,PlayStation 5,"Sep 29, 2021",E10+
